Ensayo,Piso,Tabique,Rotura
1,PB,4,31.7
2,PB,5,25.7
3,PB,5,31.7
4,PB,4,30.7
5,PB,7,20.4
6,PB,7,22.8
7,PB,8,28.6
8,PB,8,32.5
9,PB,6,25.8
10,PB,6,21.8
11,PP,4,34.8
12,PP,5,36.7
13,PP,6,45
14,PP,7,30.9
15,PP,7,35.8
16,PP,8,30.1
17,PP,8,36.9
18,PP,5,41.1
19,PP,4,30
20,1SS,5,38.8
21,1SS,5,30.8
22,1SS,4,30.9
23,1SS,4,34.7
24,1SS,6,30.8
25,1SS,6,32.9
26,1SS,6,35.7
27,1SS,7,28.8
28,1SS,8,32.7
29,1SS,8,33.8
30,2SS,5,31.9
31,2SS,5,33.9
32,2SS,4,27.9
33,2SS,4,28.8
34,2SS,6,28.9
35,2SS,7,32
36,2SS,7,35
37,2SS,6,32.8
38,2SS,8,36.9
39,2SS,8,31
40,3SS,4,29.9
41,3SS,4,25.8
42,3SS,5,34.8
43,3SS,5,38.9
44,3SS,6,26.8
45,3SS,6,24.8
46,3SS,7,30.8
47,3SS,7,33.7
48,3SS,8,32.1
49,3SS,8,33.8
50,3SS,8,24.8
51,2SS,4,28.8
52,1SS,6,29.8
53,1SS,4,39.8
54,PP,5,28.9
55,PB,5,30.9
56,PB,6,27.9
57,PB,6,21.8
58,PB,7,25.9
59,PB,7,34
60,3SS,4,41.9
61,3SS,4,38
62,3SS,4,43.8
63,3SS,4,39.1
64,3SS,5,45.1
65,3SS,5,39.9
66,3SS,5,47.1
67,3SS,5,38.2
68,3SS,1,36
69,3SS,2,30.1
70,3SS,1,29.1
71,3SS,2,22.1
72,3SS,6,26.5
73,3SS,6,39.9
74,3SS,7,29.1
75,3SS,7,35.5
76,3SS,7,22.9
77,3SS,7,43.1
78,3SS,8,29.1
79,3SS,8,31.7
80,3SS,8,28.1
81,2SS,4,35
82,2SS,4,26.7
83,2SS,4,27.2
84,2SS,5,24.7
85,2SS,5,28
86,2SS,5,27
87,2SS,5,33.8
88,2SS,2,41
89,2SS,1,40.2
90,2SS,2,33.2
91,2SS,1,42.2
92,2SS,6,37
93,2SS,6,35.9
94,2SS,7,38.1
95,2SS,7,36.9
96,2SS,7,43.9
97,2SS,7,26.6
98,2SS,8,34.8
99,2SS,8,39.8
100,2SS,8,44.1
101,1SS,4,39.3
102,1SS,4,38.6
103,1SS,4,38
104,1SS,5,40.3
105,1SS,5,43.6
106,1SS,5,43.5
107,1SS,5,39.4
108,1SS,2,43.3
109,1SS,1,40.4
110,1SS,2,39.5
111,1SS,1,38.3
112,1SS,6,35
113,1SS,7,39.5
114,1SS,7,32.7
115,1SS,7,33.8
116,1SS,7,30.3
117,1SS,8,33.3
118,1SS,8,39.2
119,1SS,8,29.8
120,PB,2,23.8
121,PB,5,30.9
122,PB,5,32.8
123,PB,5,27.8
124,PB,1,31.9
125,PB,1,40.4
126,PB,2,22.8
127,PB,7,30.8
128,PB,7,31.8
129,PB,8,32.8
130,PB,8,40.2
131,PB,8,35.7
132,PB,8,37.5
133,PB,4,39.3
134,PB,4,36.7
135,PB,4,39.8
136,PB,4,43.5
137,PP,4,28.8
138,PP,4,41.7
139,PP,5,36.5
140,PP,6,38.6
141,PP,2,43.9
142,PP,1,36.5
143,PP,2,39
144,PP,1,27.8
145,PP,7,29.8
146,PP,7,36.4
147,PP,8,24.8
148,PP,8,39.3
149,PP,8,38.8
150,PP,7,34.1
